Year,CBPF Name,Total Allocation,Allocation (INGO),Allocation (NNGO),Allocation (Red Cross),Allocation (UN),Reserve Allocation (INGO),Reserve Allocation (NNGO),Reserve Allocation (Red Cross),Reserve Allocation (UN),Standard Allocation (INGO),Standard Allocation (NNGO),Standard Allocation (Red Cross),Standard Allocation (UN),Total Reserve Allocation,Total Standard Allocation,Total Under Approval Allocation,Under Approval Allocation (INGO),Under Approval Allocation (NNGO),Under Approval Allocation (Red),Under Approval Allocation (UN)
2019,"oPt",27755525.99,13940323.38,10660598.73,369062.26,2785541.62,0,0,0,0,13940323.38,10660598.73,369062.26,2785541.62,0,27755525.99,0,0,0,0,0
2019,"Pakistan",8890418.15,1521344.94,4138331.15,0,3230742.06,968293.56,1581442.38,0,1290308.7,553051.38,2556888.77,0,1940433.36,3840044.64,5050373.51,0,0,0,0,0
2019,"Somalia",53412057.67,26172313.37,24598212.03,788344.71,1853187.56,9205094.18,10363353.08,0,1153187.48,16967219.19,14234858.95,788344.71,700000.08,20721634.74,32690422.93,0,0,0,0,0
2019,"South Sudan",79967710.69,34884234.06,30781765.46,0,14301711.17,3652591.48,2647847.4,0,3561782.6,31231642.58,28133918.06,0,10739928.57,9862221.48,70105489.21,0,0,0,0,0
2019,"Sudan",58587608.85,38136585.58,9912858.07,9600,10528565.2,2955229.92,2859628.73,9600,7799330.99,35181355.66,7053229.34,0,2729234.21,13623789.64,44963819.21,0,0,0,0,0
2019,"Syria",52653212.04,14651976.13,21331782.13,0,16669453.78,4979550.06,9220859.8,0,11099929.44,9672426.07,12110922.33,0,5569524.34,25300339.3,27352872.74,0,0,0,0,0
2019,"Syria Cross border",117222334.15,15317118.64,78946724.54,2528417.31,20430073.66,3883978.24,23204440.26,1357173.78,13204311.48,11433140.4,55742284.28,1171243.53,7225762.18,41649903.76,75572430.39,0,0,0,0,0
2019,"Ukraine",2987682.19,1591413.5,1396268.69,0,0,0,0,0,0,1591413.5,1396268.69,0,0,0,2987682.19,0,0,0,0,0
2019,"Yemen",239404030.19,86258270.19,82103795.29,6079362.85,64962601.86,5763447.96,14970970.99,0,26497746.48,80494822.23,67132824.3,6079362.85,38464855.38,47232165.43,192171864.76,0,0,0,0,0
2018,"Afghanistan",62584769.94,28525051.5,13818053.97,0,20241664.47,11298370.65,5474221.49,0,13398303.64,17226680.85,8343832.48,0,6843360.83,30170895.78,32413874.16,0,0,0,0,0
